"","word","count","sentiment","n"
"533","incompetent",2,"negative",1
"534","incomprehensible",1,"negative",1
"535","incorrect",1,"negative",1
"536","incredible",2,"positive",1
"537","ineffectual",1,"negative",1
"538","inefficient",1,"negative",1
"539","inept",1,"negative",1
"540","inequality",18,"negative",1
"541","inevitable",3,"negative",1
"542","inevitably",2,"negative",1
"543","inferior",1,"negative",1
"544","ingenuity",1,"positive",1
"545","innovation",1,"positive",1
"546","insane",4,"negative",1
"547","insanity",3,"negative",1
"548","insecurity",1,"negative",1
"549","insightful",2,"positive",1
"550","insignificance",1,"negative",1
"551","insinuation",1,"negative",1
"552","inspiration",1,"positive",1
"553","inspire",1,"positive",1
"554","instability",1,"negative",1
"555","instrumental",1,"positive",1
"556","insults",1,"negative",1
"557","intelligence",2,"positive",1
"558","intelligent",3,"positive",1
"559","interesting",22,"positive",1
"560","interests",2,"positive",1
"561","intimidate",1,"negative",1
"562","intimidation",1,"negative",1
"563","intolerable",1,"negative",1
"564","invader",1,"negative",1
"565","invisible",1,"negative",1
"566","ironic",5,"negative",1
"567","ironically",2,"negative",1
"568","irony",3,"negative",1
"569","irrational",1,"negative",1
"570","irreparable",1,"negative",1
"571","isolated",1,"negative",1
"572","isolation",1,"negative",1
"573","issue",3,"negative",1
"574","issues",8,"negative",1
"575","jealous",1,"negative",1
"576","jeers",1,"negative",1
"577","jeopardy",1,"negative",1
"578","jobless",1,"negative",1
"579","joke",6,"negative",1
"580","joker",1,"negative",1
"581","jolly",1,"positive",1
"582","keen",1,"positive",1
"583","kill",11,"negative",1
"584","killed",11,"negative",1
"585","killer",2,"negative",1
"586","killing",9,"negative",1
"587","kills",5,"negative",1
"588","knock",2,"negative",1
"589","kudos",1,"positive",1
"590","lack",7,"negative",1
"591","lame",1,"negative",1
"592","laughable",1,"negative",1
"593","lavish",1,"positive",1
"594","lazy",7,"negative",1
"595","lead",44,"positive",1
"596","leading",20,"positive",1
"597","leads",3,"positive",1
"598","led",13,"positive",1
"599","legendary",2,"positive",1
"600","lethal",3,"negative",1
"601","liar",2,"negative",1
"602","liars",1,"negative",1
"603","liberation",1,"positive",1
"604","liberty",3,"positive",1
"605","lie",3,"negative",1
"606","lies",8,"negative",1
"607","like",627,"positive",1
"608","liked",10,"positive",1
"609","likes",2,"positive",1
"610","limit",1,"negative",1
"611","loathing",1,"negative",1
"612","lose",14,"negative",1
"613","loser",2,"negative",1
"614","losers",3,"negative",1
"615","loses",4,"negative",1
"616","losing",4,"negative",1
"617","loss",7,"negative",1
"618","lost",17,"negative",1
"619","loud",1,"negative",1
"620","love",40,"positive",1
"621","loved",1,"positive",1
"622","lovely",3,"positive",1
"623","lover",2,"positive",1
"624","loves",3,"positive",1
"625","loving",1,"positive",1
"626","loyal",1,"positive",1
"627","loyalty",1,"positive",1
"628","luck",5,"positive",1
"629","lucky",3,"positive",1
"630","lunatic",4,"negative",1
"631","luxury",1,"positive",1
"632","lying",2,"negative",1
"633","mad",4,"negative",1
"634","madness",2,"negative",1
"635","magic",1,"positive",1
"636","magnificence",1,"positive",1
"637","magnificent",1,"positive",1
"638","manipulation",1,"negative",1
"639","mar",1,"negative",1
"640","masterpiece",2,"positive",1
"641","masters",1,"positive",1
"642","mercy",2,"positive",1
"643","merry",1,"positive",1
"644","mess",1,"negative",1
"645","messed",1,"negative",1
"646","messy",1,"negative",1
"647","mighty",16,"positive",1
"648","mindless",1,"negative",1
"649","miracle",1,"positive",1
"650","miserable",1,"negative",1
"651","misery",2,"negative",1
"652","miss",4,"negative",1
"653","missed",2,"negative",1
"654","mistake",4,"negative",1
"655","mistakes",10,"negative",1
"656","mock",2,"negative",1
"657","mocking",1,"negative",1
"658","modern",77,"positive",1
"659","modest",1,"positive",1
"660","monumental",1,"positive",1
"661","morality",3,"positive",1
"662","moron",1,"negative",1
"663","moronic",3,"negative",1
"664","morons",1,"negative",1
"665","murder",3,"negative",1
"666","murderer",1,"negative",1
"667","murderous",1,"negative",1
"668","mystery",3,"negative",1
"669","myth",8,"negative",1
"670","nasty",2,"negative",1
"671","naughty",1,"negative",1
"672","neat",1,"positive",1
"673","neglect",1,"negative",1
"674","nemesis",2,"negative",1
"675","nervous",1,"negative",1
"676","nice",8,"positive",1
"677","nightmare",1,"negative",1
"678","noisy",1,"negative",1
"679","nonsense",3,"negative",1
"680","obese",1,"negative",1
"681","obliterate",1,"negative",1
"682","obscene",1,"negative",1
"683","obsession",1,"positive",1
"684","odd",2,"negative",1
"685","oddly",1,"negative",1
"686","oppose",1,"negative",1
"687","opposition",3,"negative",1
"688","oppression",2,"negative",1
"689","oppressive",1,"negative",1
"690","opulent",1,"positive",1
"691","outcry",2,"negative",1
"692","outlaw",1,"negative",1
"693","outrage",3,"negative",1
"694","outsider",2,"negative",1
"695","overdue",1,"negative",1
"696","overrun",3,"negative",1
"697","overthrow",2,"negative",1
"698","pain",1,"negative",1
"699","paltry",1,"negative",1
"700","pandering",1,"negative",1
